PartitionKey,RowKey,CountryCode,Latitude,Longitude,SW_Lat,SW_Lon,NE_Lat,NE_Lon,lat radians,long radians
United States,White Plains (NY),US,40.992779,-73.739325,40.81292288,-73.97762138,41.17263512,-73.50102862,0.715458963,-1.286994009
United States,Northern New Jersey (NJ),US,41.043504,-74.151545,40.87,-74.39002669,41.22336012,-73.91306331,0.716344281,-1.294188606
Turkey,Istanbul,TR,41.050379,28.960557,40.87052288,28.72205009,41.23023512,29.19906392,0.716464273,0.505457073
United States,Findlay (OH),US,41.063997,-83.596616,40.88414088,-83.83517289,41.24385312,-83.35805911,0.716701952,-1.459036193
United States,Ft. Wayne (IN),US,41.100024,-85.086629,40.92016788,-85.32531821,41.27988012,-84.84793979,0.717330741,-1.485041825
United States,Cheyenne (WY),US,41.169065,-104.775036,40.98920888,-105.0139792,41.34892112,-104.5360928,0.718535734,-1.828669352
Portugal,Porto,PT,41.198669,-8.605277,41.01881288,-8.844329253,41.37852512,-8.366224748,0.719052421,-0.150190417
United States,Omaha (NE),US,41.215349,-95.963746,41.03549288,-96.20285975,41.39520512,-95.72463225,0.719343542,-1.67488333
United States,New Haven (CT),US,41.33151,-72.97901,41.15165388,-73.2185529,41.51136612,-72.7394671,0.721370934,-1.273724009
Spain,Barcelona,ES,41.430149,2.177326,41.25029288,1.937417476,41.61000512,2.417234524,0.72309251,0.038001508
United States,Cleveland (OH),US,41.474825,-81.644401,41.29496888,-81.88447549,41.65468112,-81.40432651,0.723872253,-1.424963613
United States,Des Moines (IA),US,41.557733,-93.592148,41.37787688,-93.8325311,41.73758912,-93.3517649,0.725319271,-1.633491137
United States,Rock Springs (WY),US,41.596689,-109.261537,41.41683288,-109.5020654,41.77654512,-109.0210086,0.725999181,-1.906973566
United States,Toledo (OH),US,41.697573,-83.597112,41.51771688,-83.83801743,41.87742912,-83.35620657,0.727759939,-1.45904485
United States,South Bend (IN),US,41.698506,-86.304416,41.51864988,-86.54532492,41.87836212,-86.06350708,0.727776223,-1.506296218
United States,Elkhart (IN),US,41.707813,-85.927482,41.52795688,-86.16842576,41.88766912,-85.68653824,0.727938661,-1.499717479
United States,Chicago (IL),US,41.83804,-87.657007,41.65818388,-87.89843938,42.01789612,-87.41557462,0.730211551,-1.529903385
Italy,Rome,IT,41.875683,12.544161,41.69582688,12.30258701,42.05553912,12.78573499,0.730868545,0.218936911
United States,Three Rivers (MI),US,41.944083,-85.633024,41.76422688,-85.87485573,42.12393912,-85.39119227,0.73206235,-1.494578217
United States,Benton Harbor (MI),US,42.09435,-86.44283,41.91449388,-86.68523543,42.27420612,-86.20042457,0.734685004,-1.508711998
Bulgaria,Plovdiv,BG,42.124578,24.686405,41.94472188,24.44388317,42.30443412,24.92892683,0.735212582,0.430859048
Canada,Windsor,CA,42.27171,-83.022772,42.09185388,-83.26586199,42.45156612,-82.77968201,0.73778052,-1.449020726
United States,Boston (MA),US,42.317062,-71.076615,42.13720588,-71.31988065,42.49691812,-70.83334935,0.738572062,-1.240520953
United States,Detroit (MI),US,42.356337,-83.09643,42.17648088,-83.33984798,42.53619312,-82.85301202,0.73925754,-1.4503063
Canada,Chatham-Kent,CA,42.372875,-82.147461,42.19301888,-82.39094318,42.55273112,-81.90397882,0.739546182,-1.433743667
Bulgaria,Sofia,BG,42.707746,23.379922,42.52788988,23.13513251,42.88760212,23.62471149,0.745390784,0.408056618
Spain,Pamplona,ES,42.78329,-1.621908,42.60343388,-1.866994355,42.96314612,-1.376821645,0.746709275,-0.028307635
United States,Casper (WY),US,42.826507,-106.341002,42.64665088,-106.5862585,43.00636312,-106.0957455,0.747463554,-1.856000615
United States,Pocatello (ID),US,42.904085,-112.487429,42.72422888,-112.7329915,43.08394112,-112.2418665,0.748817546,-1.963276003
United States,Buffalo (NY),US,42.920166,-78.837849,42.74030988,-79.08347507,43.10002212,-78.59222293,0.749098212,-1.37598004
Canada,London,CA,42.942669,-81.227635,42.76281288,-81.47335003,43.12252512,-80.98191997,0.749490964,-1.417689674
Canada,Sarnia,CA,42.984313,-82.346702,42.80445688,-82.59258182,43.16416912,-82.10082218,0.750217789,-1.437221078
United States,Grand Rapids (MI),US,43.004827,-85.644843,42.82497088,-85.89080438,43.18468312,-85.39888162,0.750575825,-1.494784498
United States,Madison (WI),US,43.043774,-89.447821,42.86391788,-89.69393916,43.22363012,-89.20170284,0.751255579,-1.561158985
United States,Flint (MI),US,43.056455,-83.699774,42.87659888,-83.94594325,43.23631112,-83.45360475,0.751476904,-1.460836639
United States,Milwaukee (WI),US,43.06243,-87.958802,42.88257388,-88.20499533,43.24228612,-87.71260867,0.751581187,-1.535170701
Canada,St. Catharines-Niagara,CA,43.127708,-79.20343,42.94785188,-79.44988673,43.30756412,-78.95697327,0.752720503,-1.382360632
Canada,Brantford,CA,43.183754,-80.258812,43.00389788,-80.50549532,43.36361012,-80.01212868,0.753698691,-1.400780523
Canada,Hamilton,CA,43.211323,-79.840722,43.03146688,-80.08751693,43.39117912,-79.59392707,0.75417986,-1.393483476
Spain,Bilbao,ES,43.24859,-2.909474,43.06873388,-3.156419972,43.42844612,-2.662528028,0.754830292,-0.050779901
France,Marseille,FR,43.29903,5.429087,43.11917388,5.181936308,43.47888612,5.676237692,0.755710636,0.094755444
France,Pau,FR,43.318489,-0.317546,43.13863288,-0.564775761,43.49834512,-0.070316239,0.75605026,-0.005542223
Canada,Kitchener,CA,43.379043,-80.436537,43.19918688,-80.68401314,43.55889912,-80.18906086,0.757107127,-1.40388241
Canada,Guelph,CA,43.500176,-80.235474,43.32031988,-80.48344447,43.68003212,-79.98750353,0.759221296,-1.400373198
Canada,Waterloo,CA,43.509372,-80.520412,43.32951588,-80.76842008,43.68922812,-80.27240392,0.759381797,-1.405346304
France,Toulouse,FR,43.568971,1.405322,43.38911488,1.157069908,43.74882712,1.653574093,0.760421996,0.024527496
United States,Boise (ID),US,43.593563,-116.266009,43.41370688,-116.5143619,43.77341912,-116.0176561,0.760851207,-2.029224665
Canada,Mississauga,CA,43.634057,-79.642384,43.45420088,-79.89090312,43.81391312,-79.39386488,0.761557961,-1.390021825
France,Montpellier,FR,43.634192,3.824118,43.45433588,3.575598322,43.81404812,4.072637678,0.761560317,0.06674345
France,Sophia Antipolis,FR,43.636529,6.99785,43.45667288,6.749320723,43.81638512,7.246379277,0.761601105,0.122135523
Canada,Toronto,CA,43.697668,-79.396504,43.51781188,-79.64528466,43.87752412,-79.14772334,0.762668182,-1.385730409
Italy,Florence,IT,43.810858,11.232563,43.63100188,10.9833156,43.99071412,11.4818104,0.76464372,0.196045208
Bosnia and Herzegovina,Sarajevo,BA,43.843115,18.353957,43.66325888,18.10457627,44.02297112,18.60333773,0.765206711,0.32033698
Canada,Oshawa,CA,43.941722,-78.864902,43.76186588,-79.11469121,44.12157812,-78.61511279,0.766927728,-1.376452204
United States,Ontario (OR),US,44.013228,-116.981707,43.83337188,-117.2317945,44.19308412,-116.7316195,0.768175743,-2.041715952
Canada,Belleville,CA,44.207388,-77.395225,44.02753188,-77.64614099,44.38724412,-77.14430901,0.771564474,-1.350801502
Canada,Kingston,CA,44.242385,-76.546821,44.06252888,-76.79788691,44.42224112,-76.29575509,0.772175287,-1.335994058
Canada,Peterborough,CA,44.274782,-78.362511,44.09492588,-78.61371585,44.45463812,-78.11130615,0.772740722,-1.367683827
Canada,Barrie,CA,44.344372,-79.698011,44.16451588,-79.94951482,44.52422812,-79.44650718,0.773955296,-1.390992699
